Year,County,PSI,PSIDescription,Count,Population,ObsRate
2008,Alameda,22,Iatrogenic Pneumothorax,70,1136417,6.16
2009,Alameda,22,Iatrogenic Pneumothorax,68,1155287,5.89
2010,Alameda,22,Iatrogenic Pneumothorax,66,1169910,5.64
2011,Alameda,22,Iatrogenic Pneumothorax,54,1186810,4.55
2012,Alameda,22,Iatrogenic Pneumothorax,58,1173980,4.94
2013,Alameda,22,Iatrogenic Pneumothorax,45,1197759,3.76
2014,Alameda,22,Iatrogenic Pneumothorax,56,1192027,4.7
2015,Alameda,22,Iatrogenic Pneumothorax,37,923607,4.01
2005,Alpine,22,Iatrogenic Pneumothorax,0,979,0
2006,Alpine,22,Iatrogenic Pneumothorax,0,1001,0
2007,Alpine,22,Iatrogenic Pneumothorax,0,1009,0
2008,Alpine,22,Iatrogenic Pneumothorax,0,957,0
2009,Alpine,22,Iatrogenic Pneumothorax,0,947,0
2010,Alpine,22,Iatrogenic Pneumothorax,0,895,0
2011,Alpine,22,Iatrogenic Pneumothorax,0,888,0
2012,Alpine,22,Iatrogenic Pneumothorax,0,2975,0
2013,Alpine,22,Iatrogenic Pneumothorax,0,2967,0
2014,Alpine,22,Iatrogenic Pneumothorax,0,2018,0
2015,Alpine,22,Iatrogenic Pneumothorax,0,3000,0
2005,Amador,22,Iatrogenic Pneumothorax,2,31101,6.43
2006,Amador,22,Iatrogenic Pneumothorax,1,31460,3.18
2007,Amador,22,Iatrogenic Pneumothorax,3,31883,9.41
2008,Amador,22,Iatrogenic Pneumothorax,3,31619,9.49
2009,Amador,22,Iatrogenic Pneumothorax,2,31769,6.3
2010,Amador,22,Iatrogenic Pneumothorax,1,31720,3.15
2011,Amador,22,Iatrogenic Pneumothorax,1,31760,3.15
2012,Amador,22,Iatrogenic Pneumothorax,4,32614,12.26
2013,Amador,22,Iatrogenic Pneumothorax,5,32252,15.5
2014,Amador,22,Iatrogenic Pneumothorax,3,33224,9.03
2015,Amador,22,Iatrogenic Pneumothorax,3,24635,12.18
2005,Butte,22,Iatrogenic Pneumothorax,16,165310,9.68
2006,Butte,22,Iatrogenic Pneumothorax,4,167351,2.39
2007,Butte,22,Iatrogenic Pneumothorax,15,168208,8.92
2008,Butte,22,Iatrogenic Pneumothorax,19,169793,11.19
2009,Butte,22,Iatrogenic Pneumothorax,29,170726,16.99
2010,Butte,22,Iatrogenic Pneumothorax,17,171576,9.91
2011,Butte,22,Iatrogenic Pneumothorax,13,172643,7.53
2012,Butte,22,Iatrogenic Pneumothorax,13,169573,7.67
2013,Butte,22,Iatrogenic Pneumothorax,11,170817,6.44
2014,Butte,22,Iatrogenic Pneumothorax,8,175975,4.55
2015,Butte,22,Iatrogenic Pneumothorax,16,128928,12.41
2005,Calaveras,22,Iatrogenic Pneumothorax,3,35913,8.35
2006,Calaveras,22,Iatrogenic Pneumothorax,2,36599,5.46
2007,Calaveras,22,Iatrogenic Pneumothorax,2,36944,5.41
2008,Calaveras,22,Iatrogenic Pneumothorax,1,37092,2.7
2009,Calaveras,22,Iatrogenic Pneumothorax,3,36875,8.14
2010,Calaveras,22,Iatrogenic Pneumothorax,2,36801,5.43
2011,Calaveras,22,Iatrogenic Pneumothorax,7,36652,19.1
2012,Calaveras,22,Iatrogenic Pneumothorax,4,37597,10.64
2013,Calaveras,22,Iatrogenic Pneumothorax,3,37646,7.97
2014,Calaveras,22,Iatrogenic Pneumothorax,2,38886,5.14
2015,Calaveras,22,Iatrogenic Pneumothorax,4,28698,13.94
2005,Colusa,22,Iatrogenic Pneumothorax,0,14456,0
2006,Colusa,22,Iatrogenic Pneumothorax,2,14677,13.63
2007,Colusa,22,Iatrogenic Pneumothorax,2,14837,13.48
2008,Colusa,22,Iatrogenic Pneumothorax,0,14891,0
2009,Colusa,22,Iatrogenic Pneumothorax,0,14960,0
2010,Colusa,22,Iatrogenic Pneumothorax,2,15117,13.23
2011,Colusa,22,Iatrogenic Pneumothorax,1,15206,6.58
2012,Colusa,22,Iatrogenic Pneumothorax,1,16676,6
2013,Colusa,22,Iatrogenic Pneumothorax,1,16775,5.96
2014,Colusa,22,Iatrogenic Pneumothorax,3,16640,18.03
2015,Colusa,22,Iatrogenic Pneumothorax,1,13258,7.54
2005,Contra Costa,22,Iatrogenic Pneumothorax,67,744835,9
2006,Contra Costa,22,Iatrogenic Pneumothorax,57,747747,7.62
2007,Contra Costa,22,Iatrogenic Pneumothorax,87,755752,11.51
2008,Contra Costa,22,Iatrogenic Pneumothorax,61,767612,7.95
2009,Contra Costa,22,Iatrogenic Pneumothorax,71,780970,9.09
2010,Contra Costa,22,Iatrogenic Pneumothorax,72,793960,9.07
2011,Contra Costa,22,Iatrogenic Pneumothorax,65,808054,8.04
2012,Contra Costa,22,Iatrogenic Pneumothorax,55,793369,6.93
2013,Contra Costa,22,Iatrogenic Pneumothorax,54,808882,6.68
2014,Contra Costa,22,Iatrogenic Pneumothorax,54,818959,6.59
2015,Contra Costa,22,Iatrogenic Pneumothorax,31,620275,5
2005,Del Norte,22,Iatrogenic Pneumothorax,0,22067,0
2006,Del Norte,22,Iatrogenic Pneumothorax,3,22055,13.6
2007,Del Norte,22,Iatrogenic Pneumothorax,1,22315,4.48
2008,Del Norte,22,Iatrogenic Pneumothorax,1,22398,4.46
2009,Del Norte,22,Iatrogenic Pneumothorax,2,22525,8.88
2010,Del Norte,22,Iatrogenic Pneumothorax,1,22507,4.44
2011,Del Norte,22,Iatrogenic Pneumothorax,0,22606,0
2012,Del Norte,22,Iatrogenic Pneumothorax,0,23687,0
2013,Del Norte,22,Iatrogenic Pneumothorax,0,23420,0
2014,Del Norte,22,Iatrogenic Pneumothorax,1,23656,4.23
2015,Del Norte,22,Iatrogenic Pneumothorax,0,17650,0
2005,El Dorado,22,Iatrogenic Pneumothorax,9,132739,6.78
2006,El Dorado,22,Iatrogenic Pneumothorax,12,134458,8.92
2007,El Dorado,22,Iatrogenic Pneumothorax,16,135852,11.78
2008,El Dorado,22,Iatrogenic Pneumothorax,14,137534,10.18
2009,El Dorado,22,Iatrogenic Pneumothorax,14,139337,10.05
2010,El Dorado,22,Iatrogenic Pneumothorax,9,140597,6.4
2011,El Dorado,22,Iatrogenic Pneumothorax,4,141461,2.83
2012,El Dorado,22,Iatrogenic Pneumothorax,9,139213,6.46
2013,El Dorado,22,Iatrogenic Pneumothorax,9,140808,6.39
2014,El Dorado,22,Iatrogenic Pneumothorax,8,146643,5.46
2015,El Dorado,22,Iatrogenic Pneumothorax,5,106572,4.69
2005,Fresno,22,Iatrogenic Pneumothorax,48,605300,7.93
2006,Fresno,22,Iatrogenic Pneumothorax,37,614966,6.02
2007,Fresno,22,Iatrogenic Pneumothorax,45,624332,7.21
2008,Fresno,22,Iatrogenic Pneumothorax,48,634600,7.56
2009,Fresno,22,Iatrogenic Pneumothorax,42,644386,6.52
2010,Fresno,22,Iatrogenic Pneumothorax,46,654204,7.03
2011,Fresno,22,Iatrogenic Pneumothorax,55,664750,8.27
2012,Fresno,22,Iatrogenic Pneumothorax,51,642666,7.94
2013,Fresno,22,Iatrogenic Pneumothorax,32,650435,4.92
2014,Fresno,22,Iatrogenic Pneumothorax,37,679486,5.45
2015,Fresno,22,Iatrogenic Pneumothorax,22,491442,4.48
2005,Glenn,22,Iatrogenic Pneumothorax,3,19553,15.34
2006,Glenn,22,Iatrogenic Pneumothorax,1,19729,5.07
2007,Glenn,22,Iatrogenic Pneumothorax,0,19842,0
2008,Glenn,22,Iatrogenic Pneumothorax,1,20067,4.98
2009,Glenn,22,Iatrogenic Pneumothorax,4,20155,19.85
2010,Glenn,22,Iatrogenic Pneumothorax,1,20313,4.92
2011,Glenn,22,Iatrogenic Pneumothorax,3,20400,14.71
2012,Glenn,22,Iatrogenic Pneumothorax,3,21643,13.86
2013,Glenn,22,Iatrogenic Pneumothorax,1,21703,4.61
2014,Glenn,22,Iatrogenic Pneumothorax,0,21574,0
2015,Glenn,22,Iatrogenic Pneumothorax,3,16846,17.81
2005,Humboldt,22,Iatrogenic Pneumothorax,10,102809,9.73
2006,Humboldt,22,Iatrogenic Pneumothorax,4,103611,3.86
2007,Humboldt,22,Iatrogenic Pneumothorax,5,103821,4.82
2008,Humboldt,22,Iatrogenic Pneumothorax,10,104570,9.56
2009,Humboldt,22,Iatrogenic Pneumothorax,4,105478,3.79
2010,Humboldt,22,Iatrogenic Pneumothorax,4,106717,3.75
2011,Humboldt,22,Iatrogenic Pneumothorax,6,107013,5.61
2012,Humboldt,22,Iatrogenic Pneumothorax,4,105607,3.79
2013,Humboldt,22,Iatrogenic Pneumothorax,3,105726,2.84
2014,Humboldt,22,Iatrogenic Pneumothorax,5,108619,4.6
2015,Humboldt,22,Iatrogenic Pneumothorax,4,79121,5.06
2005,Imperial,22,Iatrogenic Pneumothorax,11,109478,10.05
2006,Imperial,22,Iatrogenic Pneumothorax,7,112879,6.2
2007,Imperial,22,Iatrogenic Pneumothorax,7,115944,6.04
2008,Imperial,22,Iatrogenic Pneumothorax,6,118550,5.06
2009,Imperial,22,Iatrogenic Pneumothorax,9,121552,7.4
2010,Imperial,22,Iatrogenic Pneumothorax,5,124055,4.03
2011,Imperial,22,Iatrogenic Pneumothorax,4,125985,3.17
2012,Imperial,22,Iatrogenic Pneumothorax,13,122385,10.62
2013,Imperial,22,Iatrogenic Pneumothorax,8,122276,6.54
2014,Imperial,22,Iatrogenic Pneumothorax,4,130127,3.07
2015,Imperial,22,Iatrogenic Pneumothorax,2,92754,2.16
2005,Inyo,22,Iatrogenic Pneumothorax,1,14549,6.87
2006,Inyo,22,Iatrogenic Pneumothorax,3,14456,20.75
2007,Inyo,22,Iatrogenic Pneumothorax,1,14505,6.89
2008,Inyo,22,Iatrogenic Pneumothorax,0,14485,0
2009,Inyo,22,Iatrogenic Pneumothorax,2,14651,13.65
2010,Inyo,22,Iatrogenic Pneumothorax,2,14670,13.63
2011,Inyo,22,Iatrogenic Pneumothorax,0,14640,0
2012,Inyo,22,Iatrogenic Pneumothorax,0,16277,0
2013,Inyo,22,Iatrogenic Pneumothorax,1,16250,6.15
2014,Inyo,22,Iatrogenic Pneumothorax,0,15730,0
2015,Inyo,22,Iatrogenic Pneumothorax,0,12814,0
2005,Kern,22,Iatrogenic Pneumothorax,44,526395,8.36
2006,Kern,22,Iatrogenic Pneumothorax,48,544084,8.82
2007,Kern,22,Iatrogenic Pneumothorax,47,557795,8.43
2008,Kern,22,Iatrogenic Pneumothorax,39,568635,6.86
2009,Kern,22,Iatrogenic Pneumothorax,50,578043,8.65
2010,Kern,22,Iatrogenic Pneumothorax,49,587730,8.34
2011,Kern,22,Iatrogenic Pneumothorax,43,597565,7.2
2012,Kern,22,Iatrogenic Pneumothorax,41,576340,7.11
2013,Kern,22,Iatrogenic Pneumothorax,41,583929,7.02
2014,Kern,22,Iatrogenic Pneumothorax,30,622019,4.82
2015,Kern,22,Iatrogenic Pneumothorax,26,441243,5.89
2005,Kings,22,Iatrogenic Pneumothorax,5,104744,4.77
2006,Kings,22,Iatrogenic Pneumothorax,7,106917,6.55
2007,Kings,22,Iatrogenic Pneumothorax,5,108972,4.59
2008,Kings,22,Iatrogenic Pneumothorax,3,110111,2.72
2009,Kings,22,Iatrogenic Pneumothorax,5,109913,4.55
2010,Kings,22,Iatrogenic Pneumothorax,4,110532,3.62
2011,Kings,22,Iatrogenic Pneumothorax,2,111322,1.8
2012,Kings,22,Iatrogenic Pneumothorax,7,107485,6.51
2013,Kings,22,Iatrogenic Pneumothorax,5,107035,4.67
2014,Kings,22,Iatrogenic Pneumothorax,3,114326,2.62
2015,Kings,22,Iatrogenic Pneumothorax,4,78983,5.06
2005,Lake,22,Iatrogenic Pneumothorax,7,49529,14.13
2006,Lake,22,Iatrogenic Pneumothorax,11,49985,22.01
2007,Lake,22,Iatrogenic Pneumothorax,8,50130,15.96
2008,Lake,22,Iatrogenic Pneumothorax,8,50505,15.84
2009,Lake,22,Iatrogenic Pneumothorax,9,50721,17.74
2010,Lake,22,Iatrogenic Pneumothorax,8,51151,15.64
2011,Lake,22,Iatrogenic Pneumothorax,11,51085,21.53
2012,Lake,22,Iatrogenic Pneumothorax,8,51501,15.53
2013,Lake,22,Iatrogenic Pneumothorax,10,51581,19.39
2014,Lake,22,Iatrogenic Pneumothorax,8,52953,15.11
2015,Lake,22,Iatrogenic Pneumothorax,3,39003,7.69
2005,Lassen,22,Iatrogenic Pneumothorax,0,27722,0
2006,Lassen,22,Iatrogenic Pneumothorax,1,27919,3.58
2007,Lassen,22,Iatrogenic Pneumothorax,3,29030,10.33
2008,Lassen,22,Iatrogenic Pneumothorax,0,28658,0
2009,Lassen,22,Iatrogenic Pneumothorax,1,28696,3.48
2010,Lassen,22,Iatrogenic Pneumothorax,0,28485,0
2011,Lassen,22,Iatrogenic Pneumothorax,1,28179,3.55
2012,Lassen,22,Iatrogenic Pneumothorax,3,29146,10.29
2013,Lassen,22,Iatrogenic Pneumothorax,1,27797,3.6
2014,Lassen,22,Iatrogenic Pneumothorax,0,29236,0
2015,Lassen,22,Iatrogenic Pneumothorax,1,20747,4.82
2005,Los Angeles,22,Iatrogenic Pneumothorax,328,7202516,4.55
2006,Los Angeles,22,Iatrogenic Pneumothorax,300,7208716,4.16
2007,Los Angeles,22,Iatrogenic Pneumothorax,347,7223112,4.8
2008,Los Angeles,22,Iatrogenic Pneumothorax,289,7281072,3.97
2009,Los Angeles,22,Iatrogenic Pneumothorax,283,7353912,3.85
2010,Los Angeles,22,Iatrogenic Pneumothorax,347,7416633,4.68
2011,Los Angeles,22,Iatrogenic Pneumothorax,287,7504083,3.82
2012,Los Angeles,22,Iatrogenic Pneumothorax,288,7317992,3.94
2013,Los Angeles,22,Iatrogenic Pneumothorax,250,7410685,3.37
2014,Los Angeles,22,Iatrogenic Pneumothorax,241,7525122,3.2
2015,Los Angeles,22,Iatrogenic Pneumothorax,140,5622301,2.49
2005,Madera,22,Iatrogenic Pneumothorax,13,100047,12.99
2006,Madera,22,Iatrogenic Pneumothorax,3,102344,2.93
2007,Madera,22,Iatrogenic Pneumothorax,8,104227,7.68
2008,Madera,22,Iatrogenic Pneumothorax,14,105909,13.22
2009,Madera,22,Iatrogenic Pneumothorax,8,106674,7.5
2010,Madera,22,Iatrogenic Pneumothorax,8,108385,7.38
2011,Madera,22,Iatrogenic Pneumothorax,7,109902,6.37
2012,Madera,22,Iatrogenic Pneumothorax,12,106934,11.22
2013,Madera,22,Iatrogenic Pneumothorax,5,107252,4.66
2014,Madera,22,Iatrogenic Pneumothorax,9,113845,7.91
2015,Madera,22,Iatrogenic Pneumothorax,8,81407,9.83
2005,Marin,22,Iatrogenic Pneumothorax,10,194828,5.13
2006,Marin,22,Iatrogenic Pneumothorax,18,194956,9.23
2007,Marin,22,Iatrogenic Pneumothorax,23,196294,11.72
2008,Marin,22,Iatrogenic Pneumothorax,15,197929,7.58
2009,Marin,22,Iatrogenic Pneumothorax,12,199904,6
2010,Marin,22,Iatrogenic Pneumothorax,17,201547,8.43
2011,Marin,22,Iatrogenic Pneumothorax,15,203181,7.38
2012,Marin,22,Iatrogenic Pneumothorax,12,200046,6
2013,Marin,22,Iatrogenic Pneumothorax,14,202161,6.93
2014,Marin,22,Iatrogenic Pneumothorax,14,201613,6.94
2015,Marin,22,Iatrogenic Pneumothorax,6,152906,3.92
2005,Mariposa,22,Iatrogenic Pneumothorax,1,14466,6.91
2006,Mariposa,22,Iatrogenic Pneumothorax,2,14728,13.58
2007,Mariposa,22,Iatrogenic Pneumothorax,2,14903,13.42
2008,Mariposa,22,Iatrogenic Pneumothorax,2,14996,13.34
2009,Mariposa,22,Iatrogenic Pneumothorax,2,14925,13.4
2010,Mariposa,22,Iatrogenic Pneumothorax,2,15017,13.32
2011,Mariposa,22,Iatrogenic Pneumothorax,0,15033,0
2012,Mariposa,22,Iatrogenic Pneumothorax,0,16563,0
2013,Mariposa,22,Iatrogenic Pneumothorax,1,16491,6.06
2014,Mariposa,22,Iatrogenic Pneumothorax,1,16334,6.12
2015,Mariposa,22,Iatrogenic Pneumothorax,0,12911,0
2005,Mendocino,22,Iatrogenic Pneumothorax,3,67693,4.43
2006,Mendocino,22,Iatrogenic Pneumothorax,7,67469,10.38
2007,Mendocino,22,Iatrogenic Pneumothorax,6,67582,8.88
2008,Mendocino,22,Iatrogenic Pneumothorax,6,68025,8.82
2009,Mendocino,22,Iatrogenic Pneumothorax,11,68421,16.08
2010,Mendocino,22,Iatrogenic Pneumothorax,2,68517,2.92
2011,Mendocino,22,Iatrogenic Pneumothorax,5,68336,7.32
2012,Mendocino,22,Iatrogenic Pneumothorax,8,68344,11.71
2013,Mendocino,22,Iatrogenic Pneumothorax,8,68379,11.7
2014,Mendocino,22,Iatrogenic Pneumothorax,7,69334,10.1
2015,Mendocino,22,Iatrogenic Pneumothorax,6,51516,11.65
2005,Merced,22,Iatrogenic Pneumothorax,16,162795,9.83
2006,Merced,22,Iatrogenic Pneumothorax,4,165009,2.42
2007,Merced,22,Iatrogenic Pneumothorax,12,167724,7.15
2008,Merced,22,Iatrogenic Pneumothorax,15,169736,8.84
2009,Merced,22,Iatrogenic Pneumothorax,11,171809,6.4
2010,Merced,22,Iatrogenic Pneumothorax,11,175232,6.28
2011,Merced,22,Iatrogenic Pneumothorax,4,178783,2.24
2012,Merced,22,Iatrogenic Pneumothorax,10,174274,5.74
2013,Merced,22,Iatrogenic Pneumothorax,14,176084,7.95
2014,Merced,22,Iatrogenic Pneumothorax,13,184892,7.03
2015,Merced,22,Iatrogenic Pneumothorax,5,133727,3.74
2005,Modoc,22,Iatrogenic Pneumothorax,1,7407,13.5
2006,Modoc,22,Iatrogenic Pneumothorax,0,7461,0
2007,Modoc,22,Iatrogenic Pneumothorax,0,7429,0
2008,Modoc,22,Iatrogenic Pneumothorax,1,7469,13.39
2009,Modoc,22,Iatrogenic Pneumothorax,1,7565,13.22
2010,Modoc,22,Iatrogenic Pneumothorax,0,7599,0
2011,Modoc,22,Iatrogenic Pneumothorax,0,7517,0
2012,Modoc,22,Iatrogenic Pneumothorax,0,9249,0
2013,Modoc,22,Iatrogenic Pneumothorax,0,9141,0
2014,Modoc,22,Iatrogenic Pneumothorax,0,8570,0
2015,Modoc,22,Iatrogenic Pneumothorax,0,7417,0
2005,Mono,22,Iatrogenic Pneumothorax,0,10514,0
2006,Mono,22,Iatrogenic Pneumothorax,0,10747,0
2007,Mono,22,Iatrogenic Pneumothorax,0,10719,0
2008,Mono,22,Iatrogenic Pneumothorax,0,10892,0
2009,Mono,22,Iatrogenic Pneumothorax,0,11055,0
2010,Mono,22,Iatrogenic Pneumothorax,0,11224,0
2011,Mono,22,Iatrogenic Pneumothorax,0,11294,0
2012,Mono,22,Iatrogenic Pneumothorax,0,13186,0
2013,Mono,22,Iatrogenic Pneumothorax,0,12990,0
2014,Mono,22,Iatrogenic Pneumothorax,0,12503,0
2015,Mono,22,Iatrogenic Pneumothorax,0,10444,0
2005,Monterey,22,Iatrogenic Pneumothorax,18,294634,6.11
2006,Monterey,22,Iatrogenic Pneumothorax,12,292832,4.1
2007,Monterey,22,Iatrogenic Pneumothorax,10,293684,3.41
2008,Monterey,22,Iatrogenic Pneumothorax,10,296155,3.38
2009,Monterey,22,Iatrogenic Pneumothorax,12,299502,4.01
2010,Monterey,22,Iatrogenic Pneumothorax,10,304351,3.29
2011,Monterey,22,Iatrogenic Pneumothorax,16,308056,5.19
2012,Monterey,22,Iatrogenic Pneumothorax,15,301958,4.97
2013,Monterey,22,Iatrogenic Pneumothorax,16,304287,5.26
2014,Monterey,22,Iatrogenic Pneumothorax,9,305907,2.94
2015,Monterey,22,Iatrogenic Pneumothorax,2,229305,0.87
2005,Napa,22,Iatrogenic Pneumothorax,10,99628,10.04
2006,Napa,22,Iatrogenic Pneumothorax,11,100569,10.94
2007,Napa,22,Iatrogenic Pneumothorax,6,101701,5.9
2008,Napa,22,Iatrogenic Pneumothorax,4,102958,3.89
2009,Napa,22,Iatrogenic Pneumothorax,6,103909,5.77
2010,Napa,22,Iatrogenic Pneumothorax,10,105302,9.5
2011,Napa,22,Iatrogenic Pneumothorax,11,106488,10.33
2012,Napa,22,Iatrogenic Pneumothorax,1,106095,0.94
2013,Napa,22,Iatrogenic Pneumothorax,7,107433,6.52
2014,Napa,22,Iatrogenic Pneumothorax,7,108610,6.45
2015,Napa,22,Iatrogenic Pneumothorax,0,82361,0
2005,Nevada,22,Iatrogenic Pneumothorax,13,77111,16.86
2006,Nevada,22,Iatrogenic Pneumothorax,6,77728,7.72
2007,Nevada,22,Iatrogenic Pneumothorax,10,78179,12.79
2008,Nevada,22,Iatrogenic Pneumothorax,6,78803,7.61
2009,Nevada,22,Iatrogenic Pneumothorax,6,79505,7.55
2010,Nevada,22,Iatrogenic Pneumothorax,11,80097,13.73
2011,Nevada,22,Iatrogenic Pneumothorax,4,80389,4.98
2012,Nevada,22,Iatrogenic Pneumothorax,1,80329,1.24
2013,Nevada,22,Iatrogenic Pneumothorax,4,80699,4.96
2014,Nevada,22,Iatrogenic Pneumothorax,2,82513,2.42
2015,Nevada,22,Iatrogenic Pneumothorax,3,61125,4.91
2005,Orange,22,Iatrogenic Pneumothorax,110,2180617,5.04
2006,Orange,22,Iatrogenic Pneumothorax,121,2185121,5.54
2007,Orange,22,Iatrogenic Pneumothorax,117,2194736,5.33
2008,Orange,22,Iatrogenic Pneumothorax,112,2219901,5.05
2009,Orange,22,Iatrogenic Pneumothorax,99,2249030,4.4
2010,Orange,22,Iatrogenic Pneumothorax,127,2279215,5.57
2011,Orange,22,Iatrogenic Pneumothorax,93,2319605,4.01
2012,Orange,22,Iatrogenic Pneumothorax,95,2270432,4.18
2013,Orange,22,Iatrogenic Pneumothorax,85,2303808,3.69
2014,Orange,22,Iatrogenic Pneumothorax,102,2330275,4.38
2015,Orange,22,Iatrogenic Pneumothorax,66,1754644,3.76
2005,Placer,22,Iatrogenic Pneumothorax,19,233967,8.12
2006,Placer,22,Iatrogenic Pneumothorax,18,241760,7.45
2007,Placer,22,Iatrogenic Pneumothorax,18,247749,7.27
2008,Placer,22,Iatrogenic Pneumothorax,13,254728,5.1
2009,Placer,22,Iatrogenic Pneumothorax,14,260230,5.38
2010,Placer,22,Iatrogenic Pneumothorax,23,265780,8.65
2011,Placer,22,Iatrogenic Pneumothorax,23,272624,8.44
2012,Placer,22,Iatrogenic Pneumothorax,14,269220,5.2
2013,Placer,22,Iatrogenic Pneumothorax,16,275142,5.82
2014,Placer,22,Iatrogenic Pneumothorax,8,291385,2.75
2015,Placer,22,Iatrogenic Pneumothorax,7,211518,3.31
2005,Plumas,22,Iatrogenic Pneumothorax,3,16762,17.9
2006,Plumas,22,Iatrogenic Pneumothorax,0,16591,0
2007,Plumas,22,Iatrogenic Pneumothorax,2,16601,12.05
2008,Plumas,22,Iatrogenic Pneumothorax,3,16521,18.16
2009,Plumas,22,Iatrogenic Pneumothorax,0,16384,0
2010,Plumas,22,Iatrogenic Pneumothorax,0,16311,0
2011,Plumas,22,Iatrogenic Pneumothorax,3,16239,18.47
2012,Plumas,22,Iatrogenic Pneumothorax,1,17560,5.69
2013,Plumas,22,Iatrogenic Pneumothorax,0,17229,0
2014,Plumas,22,Iatrogenic Pneumothorax,0,16981,0
2015,Plumas,22,Iatrogenic Pneumothorax,1,13235,7.56
2005,Riverside,22,Iatrogenic Pneumothorax,78,1365225,5.71
2006,Riverside,22,Iatrogenic Pneumothorax,76,1423074,5.34
2007,Riverside,22,Iatrogenic Pneumothorax,69,1468741,4.7
2008,Riverside,22,Iatrogenic Pneumothorax,77,1497677,5.14
2009,Riverside,22,Iatrogenic Pneumothorax,74,1532584,4.83
2010,Riverside,22,Iatrogenic Pneumothorax,84,1579716,5.32
2011,Riverside,22,Iatrogenic Pneumothorax,89,1618245,5.5
2012,Riverside,22,Iatrogenic Pneumothorax,72,1578971,4.56
2013,Riverside,22,Iatrogenic Pneumothorax,71,1608253,4.41
2014,Riverside,22,Iatrogenic Pneumothorax,76,1723126,4.41
2015,Riverside,22,Iatrogenic Pneumothorax,65,1235866,5.26
2005,Sacramento,22,Iatrogenic Pneumothorax,67,1001691,6.69
2006,Sacramento,22,Iatrogenic Pneumothorax,74,1010429,7.32
2007,Sacramento,22,Iatrogenic Pneumothorax,62,1020852,6.07
2008,Sacramento,22,Iatrogenic Pneumothorax,78,1032542,7.55
2009,Sacramento,22,Iatrogenic Pneumothorax,71,1046094,6.79
2010,Sacramento,22,Iatrogenic Pneumothorax,80,1058518,7.56
2011,Sacramento,22,Iatrogenic Pneumothorax,67,1075584,6.23
2012,Sacramento,22,Iatrogenic Pneumothorax,76,1052498,7.22
2013,Sacramento,22,Iatrogenic Pneumothorax,57,1066996,5.34
2014,Sacramento,22,Iatrogenic Pneumothorax,64,1102714,5.8
2015,Sacramento,22,Iatrogenic Pneumothorax,51,812828,6.27
2005,San Benito,22,Iatrogenic Pneumothorax,2,38212,5.23
2006,San Benito,22,Iatrogenic Pneumothorax,1,37946,2.64
2007,San Benito,22,Iatrogenic Pneumothorax,3,37962,7.9
2008,San Benito,22,Iatrogenic Pneumothorax,6,38262,15.68
2009,San Benito,22,Iatrogenic Pneumothorax,2,38665,5.17
2010,San Benito,22,Iatrogenic Pneumothorax,6,39605,15.15
2011,San Benito,22,Iatrogenic Pneumothorax,1,40265,2.48
2012,San Benito,22,Iatrogenic Pneumothorax,0,41402,0
2013,San Benito,22,Iatrogenic Pneumothorax,0,42194,0
2014,San Benito,22,Iatrogenic Pneumothorax,1,41257,2.42
2015,San Benito,22,Iatrogenic Pneumothorax,0,33017,0
2005,San Bernardino,22,Iatrogenic Pneumothorax,106,1347408,7.87
2006,San Bernardino,22,Iatrogenic Pneumothorax,96,1373516,6.99
2007,San Bernardino,22,Iatrogenic Pneumothorax,72,1390849,5.18
2008,San Bernardino,22,Iatrogenic Pneumothorax,99,1405191,7.05
2009,San Bernardino,22,Iatrogenic Pneumothorax,90,1420975,6.33
2010,San Bernardino,22,Iatrogenic Pneumothorax,81,1447189,5.6
2011,San Bernardino,22,Iatrogenic Pneumothorax,80,1474036,5.43
2012,San Bernardino,22,Iatrogenic Pneumothorax,74,1428592,5.18
2013,San Bernardino,22,Iatrogenic Pneumothorax,61,1446673,4.22
2014,San Bernardino,22,Iatrogenic Pneumothorax,68,1521005,4.47
2015,San Bernardino,22,Iatrogenic Pneumothorax,51,1099744,4.64
2005,San Diego,22,Iatrogenic Pneumothorax,140,2214544,6.32
2006,San Diego,22,Iatrogenic Pneumothorax,137,2229606,6.14
2007,San Diego,22,Iatrogenic Pneumothorax,121,2257236,5.36
2008,San Diego,22,Iatrogenic Pneumothorax,143,2296616,6.23
2009,San Diego,22,Iatrogenic Pneumothorax,131,2332413,5.62
2010,San Diego,22,Iatrogenic Pneumothorax,108,2372232,4.55
2011,San Diego,22,Iatrogenic Pneumothorax,108,2407960,4.49
2012,San Diego,22,Iatrogenic Pneumothorax,95,2359002,4.03
2013,San Diego,22,Iatrogenic Pneumothorax,91,2394181,3.8
2014,San Diego,22,Iatrogenic Pneumothorax,98,2438827,4.02
2015,San Diego,22,Iatrogenic Pneumothorax,65,1829497,3.55
2005,San Francisco,22,Iatrogenic Pneumothorax,43,655221,6.56
2006,San Francisco,22,Iatrogenic Pneumothorax,34,661295,5.14
2007,San Francisco,22,Iatrogenic Pneumothorax,28,670554,4.18
2008,San Francisco,22,Iatrogenic Pneumothorax,37,682007,5.43
2009,San Francisco,22,Iatrogenic Pneumothorax,39,691485,5.64
2010,San Francisco,22,Iatrogenic Pneumothorax,36,694816,5.18
2011,San Francisco,22,Iatrogenic Pneumothorax,42,701321,5.99
2012,San Francisco,22,Iatrogenic Pneumothorax,42,704143,5.96
